Location,Price,Bedrooms,Bathrooms,Area
N/A,10.5 Crore,5,6,1 Kanal
N/A,6.5 Crore,5,6,1 Kanal
N/A,7.75 Crore,5,5,1 Kanal
N/A,7.15 Crore,5,6,1 Kanal
N/A,8.74 Crore,5,6,1 Kanal
N/A,2.2 Crore,3,5,5 Marla
N/A,1.98 Crore,3,4,5 Marla
N/A,24 Crore,5,6,1 Kanal
N/A,11.5 Crore,7,7,1 Kanal
N/A,8.3 Crore,5,6,1 Kanal
N/A,10.5 Crore,5,6,1 Kanal
N/A,57 Crore,7,7,2 Kanal
N/A,7.65 Crore,5,6,1 Kanal
N/A,7.35 Crore,5,6,1 Kanal
N/A,8.75 Crore,6,7,1.1 Kanal
N/A,11.75 Crore,5,6,2 Kanal
N/A,2.45 Crore,3,4,5 Marla
N/A,2.45 Crore,3,4,5 Marla
N/A,2.1 Crore,4,5,5 Marla
N/A,8.99 Crore,5,6,1 Kanal
N/A,8.6 Crore,5,6,1 Kanal
N/A,2.25 Crore,3,4,5 Marla
N/A,2.15 Crore,3,4,5 Marla
N/A,4.4 Crore,4,5,10 Marla
N/A,2.05 Crore,3,4,5 Marla
N/A,2.8 Crore,3,4,5 Marla
N/A,2.4 Crore,3,4,5 Marla
N/A,8.7 Crore,5,6,1 Kanal
N/A,24.5 Crore,6,7,1 Kanal
N/A,7.45 Crore,6,7,1 Kanal
N/A,9.6 Crore,5,6,1 Kanal
N/A,7.78 Crore,5,6,1 Kanal
N/A,11.99 Crore,6,7,1.4 Kanal
N/A,24 Crore,5,6,1 Kanal
N/A,3.25 Crore,3,4,5 Marla
N/A,7.54 Crore,7,7,1.2 Kanal
N/A,3.99 Crore,4,6,10 Marla
N/A,11.25 Crore,6,7,1 Kanal
N/A,28.5 Crore,6,6,1.3 Kanal
N/A,6 Crore,6,6,1 Kanal
N/A,6.65 Crore,6,7,1 Kanal
N/A,4.25 Crore,5,7,10 Marla
N/A,4.15 Crore,5,7,10 Marla
N/A,4.45 Crore,5,7,10 Marla
N/A,4.35 Crore,4,7,10 Marla
N/A,3.6 Crore,4,5,8 Marla
N/A,6.88 Crore,5,6,1 Kanal
N/A,14.62 Crore,6,7,1.3 Kanal
N/A,13.87 Crore,6,7,1.5 Kanal
N/A,9.31 Crore,5,6,1 Kanal
N/A,23.85 Crore,6,7,2 Kanal
N/A,7.77 Crore,5,7,1 Kanal
N/A,7.45 Crore,5,7,1 Kanal
N/A,8.15 Crore,5,6,1 Kanal
N/A,2.6 Crore,3,3,5 Marla
N/A,8.25 Crore,5,6,1.1 Kanal
N/A,7.5 Crore,5,6,1 Kanal
N/A,9.5 Crore,5,6,1 Kanal
N/A,6.5 Crore,5,6,1 Kanal
N/A,45 Crore,6,7,2 Kanal
N/A,7.5 Crore,5,6,1 Kanal
N/A,19 Crore,5,6,1 Kanal
N/A,5.8 Crore,5,5,1 Kanal
N/A,1.95 Crore,4,4,5 Marla
N/A,2.4 Crore,3,4,5 Marla
N/A,9.8 Crore,5,7,1 Kanal
N/A,7.25 Crore,6,6,1 Kanal
N/A,7.99 Crore,6,6,1 Kanal
N/A,5.4 Crore,4,5,10 Marla
N/A,4.15 Crore,4,5,10 Marla
N/A,5.95 Crore,5,6,1 Kanal
N/A,6.25 Crore,4,5,10 Marla
N/A,6.15 Crore,5,6,1 Kanal
N/A,7.7 Crore,6,7,1 Kanal
N/A,12.25 Crore,6,7,1 Kanal
N/A,13.42 Crore,5,6,1 Kanal
N/A,5.35 Crore,4,5,10 Marla
N/A,6.95 Crore,6,6,1 Kanal
N/A,8.3 Crore,7,7,1.1 Kanal
N/A,6 Crore,5,6,1 Kanal
N/A,8.25 Crore,5,7,1.3 Kanal
N/A,7.5 Crore,5,6,1 Kanal
N/A,7.95 Crore,5,5,1 Kanal
N/A,2.29 Crore,3,4,5 Marla
N/A,9.6 Crore,5,6,1 Kanal
N/A,7.5 Crore,4,5,10 Marla
N/A,2.15 Crore,3,4,5 Marla
N/A,18.25 Crore,6,5,1 Kanal
N/A,8 Crore,5,6,1 Kanal
N/A,2.35 Crore,3,4,5 Marla
N/A,10.25 Crore,5,6,1 Kanal
N/A,12.35 Crore,5,7,2 Kanal
N/A,10.55 Crore,5,6,1.2 Kanal
N/A,2.1 Crore,3,4,5 Marla
N/A,2.1 Crore,3,4,5 Marla
N/A,7 Crore,5,6,1 Kanal
N/A,1.99 Crore,4,5,5 Marla
N/A,2.1 Crore,4,5,5 Marla
N/A,8.75 Crore,5,6,1 Kanal
N/A,8.25 Crore,5,6,1 Kanal
N/A,5.99 Crore,5,6,1 Kanal
N/A,5.7 Crore,3,4,1 Kanal
N/A,8.12 Crore,5,6,1 Kanal
N/A,7.5 Crore,5,6,1 Kanal
N/A,8 Crore,5,7,1 Kanal
N/A,4.15 Crore,4,5,10 Marla
N/A,5.25 Crore,4,5,10 Marla
N/A,2.4 Crore,3,4,5 Marla
N/A,35 Crore,6,6,2 Kanal
N/A,15 Crore,5,6,1 Kanal
N/A,7.75 Crore,5,5,1 Kanal
N/A,8.75 Crore,5,6,1 Kanal
N/A,2.2 Crore,3,4,5 Marla
N/A,2.9 Crore,3,4,5 Marla
N/A,2.12 Crore,3,4,5 Marla
N/A,7.5 Crore,5,6,1 Kanal
N/A,11.5 Crore,5,6,1 Kanal
N/A,9 Crore,5,5,1 Kanal
N/A,19.5 Crore,6,7,1 Kanal
N/A,2.15 Crore,3,4,5 Marla
N/A,9.75 Crore,5,6,1.1 Kanal
N/A,8.5 Crore,5,6,1 Kanal
N/A,13.5 Crore,5,6,1 Kanal
N/A,16 Crore,6,7,1 Kanal
N/A,5.25 Crore,4,5,8 Marla
N/A,10.5 Crore,6,7,1 Kanal
N/A,8.7 Crore,5,6,1 Kanal
N/A,2.5 Crore,3,4,5 Marla
N/A,2.15 Crore,3,4,5 Marla
