Name,Current Price (Rs),Original Price (Rs),Discount Amount (Rs),Discount %
Dell Latitude 3540 Ci5-1335U (8GB-256GB SSD) 15.6 FHD,169999,249999,80000,32% OFF
Dell Vostro 3530 Ci3-1305U (8GB-512GB SSD),111999,143000,31001,22% OFF
Dell Vostro 15 3530 13th Gen Core i5 1334u,142999,180000,37001,21% OFF
Dell Inspiron 15 3530 13th Gen Core i7 1355U (16GB-512GB SSD),189999,219999,30000,14% OFF
Dell Latitude 3550 Raptor Lake 13th Gen Core i7 1355U (8GB-512GB SSD),269999,304999,35000,11% OFF
Dell Latitude 15 5540 15.6 Inches 13th Gen Core i7 DOS (8GB - 512GB),344999,415000,70001,17% OFF
Dell Latitude 15 3540 15.6 Inches 13th Gen Core i7 DOS (8GB - 512GB),251999,320000,68001,21% OFF
Dell Inspiron 14 7440 2 in 1 Intel Core 5 120U,181999,250000,68001,27% OFF
DELL LATTITUDE 5550 14TH GEN Core Ultra 7 155U (8GB-512GB SSD),360999,379999,19000,5% OFF
Dell Inspiron 16 5640 Core i5-1334U (16GB-512GB SSD),197999,209999,12000,6% OFF
Dell Latitude 3540 Ci5-1335U (8GB-256GB SSD),171999,200000,28001,14% OFF
Dell Inspiron 14-7440 CORE7 150U,221999,290000,68001,23% OFF
Dell Latitude 5450 14th Gen Core Ultra 7 (8GB-512GB SSD),360999,369999,9000,2% OFF
DELL LATTITUDE 5550 14TH GEN Core Ultra 5 125U (8GB-512GB SSD),315999,340000,24001,7% OFF
Dell Vostro 15 3530 Laptop Core™ i7-1355U (16GB-512GB),174999,240000,65001,27% OFF
Dell Inspiron 15 3530 13th Gen Core i5 1334u,143999,200000,56001,28% OFF
DELL Vostro 15 3520 Laptop 12th Gen Core i3,106599,149999,43400,29% OFF
Dell Inspiron 16 5640 Intel Core 7-150U (16GB-1TB SSD),239999,264999,25000,9% OFF
Dell Latitude 3550 Raptor Lake 13th Gen Core i5 1335U (8GB-512GB SSD),184999,219999,35000,16% OFF
Dell Latitude 5440 13TH GEN CORE i7 1355U (8GB-512GB SSD),344999,370000,25001,7% OFF
