Job Title,Job URL,Company,Location,Salary,Company Rating,Posted Date,Easy Apply
"Data Scientist, Innovation Lab - Remote","https://www.glassdoor.com/job-listing/data-scientist-innovation-lab-remote-experian-JV_KO0,36_KE37,45.htm?jl=1009870763011",Experian,United States,,3.8,6d,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-oland-technologies-JV_IC1154392_KO0,14_KE15,33.htm?jl=1009872201702",Oland Technologies,"Dade City, FL",$25.00 - $100.00 Per Hour (Employer provided),,5d,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-parkar-digital-JV_KO0,14_KE15,29.htm?jl=1009874958781",Parkar Digital,Remote,,2.9,2d,Yes
US LBM Data Scientist,"https://www.glassdoor.com/job-listing/us-lbm-data-scientist-us-lbm-holdings-JV_KO0,21_KE22,37.htm?jl=1009875125066",US LBM Holdings,Remote,,3.1,2d,Yes
"Data Scientist, Marketing","https://www.glassdoor.com/job-listing/data-scientist-marketing-confluent-JV_KO0,24_KE25,34.htm?jl=1009875621071",Confluent,United States,$160K - $188K (Employer provided),3.5,2d,Yes
Data Scientist II,"https://www.glassdoor.com/job-listing/data-scientist-ii-accuweather-careers-JV_IC1153370_KO0,17_KE18,37.htm?jl=1009874023430",AccuWeather Careers,"State College, PA",$87K - $127K (Glassdoor est.),2.9,3d,Yes
Clinical Data Scientist,"https://www.glassdoor.com/job-listing/clinical-data-scientist-beacon-talent-JV_KO0,23_KE24,37.htm?jl=1009874025384",Beacon Talent,Remote,$145K - $160K (Employer provided),4.6,3d,Yes
"Senior Data Scientist, Innovation Lab - Remote","https://www.glassdoor.com/job-listing/senior-data-scientist-innovation-lab-remote-experian-JV_KO0,43_KE44,52.htm?jl=1009870767965",Experian,United States,,3.8,6d,Yes
Data Scientist - Supply chain domain,"https://www.glassdoor.com/job-listing/data-scientist-supply-chain-domain-ghk-technologies-inc-JV_IC1147401_KO0,34_KE35,55.htm?jl=1009871582728",GHK Technologies Inc.,"San Francisco, CA",$80.00 Per Hour (Employer provided),,5d,Yes
Data Scientist - Multiple Levels,"https://www.glassdoor.com/job-listing/data-scientist-multiple-levels-megaminxx-JV_IC1127034_KO0,30_KE31,40.htm?jl=1009871058856",MegaminxX,"Wayne, NJ",$65.00 - $115.00 Per Hour (Employer provided),,5d,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-i3-consulting-JV_IC1138213_KO0,14_KE15,28.htm?jl=1009875666713",i3 Consulting,"Washington, DC",,3.0,24h,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-enobleon-JV_KO0,14_KE15,23.htm?jl=1009869088956",eNobleon,United States,$115K - $165K (Employer provided),,7d,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-intone-networks-JV_IC1142551_KO0,14_KE15,30.htm?jl=1009874013115",Intone Networks,"Minneapolis, MN",$96K - $135K (Glassdoor est.),4.1,3d,No
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-health-care-service-corporation-JV_IC1128808_KO0,14_KE15,46.htm?jl=1009875563122",Health Care Service Corporation,"Chicago, IL",$69K - $147K (Employer provided),3.8,2d,No
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-knowli-corp-dba-knowli-data-science-JV_IC1155132_KO0,14_KE15,50.htm?jl=1009869814584",Knowli Corp dba Knowli Data Science,"Columbia, SC",$75K - $95K (Employer provided),,6d,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-realtor-com-careers-JV_IC1139761_KO0,14_KE15,34.htm?jl=1009874899130",Realtor.com Careers,"Austin, TX",,3.2,3d,Yes
DATA SCIENTIST,"https://www.glassdoor.com/job-listing/data-scientist-vsolvit-JV_IC1147119_KO0,14_KE15,22.htm?jl=1009874101033",VSolvit,"Norco, CA",$80K - $120K (Employer provided),4.4,3d,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-appriss-retail-JV_KO0,14_KE15,29.htm?jl=1009853770729",Appriss Retail,United States,$115K - $125K (Employer provided),4.2,21d,Yes
Omics Associate Data Scientist,"https://www.glassdoor.com/job-listing/omics-associate-data-scientist-md-anderson-JV_IC1140171_KO0,30_KE31,42.htm?jl=1009875551395",MD Anderson,"Houston, TX",$88K - $132K (Employer provided),4.1,2d,No
Data Scientist - Credit,"https://www.glassdoor.com/job-listing/data-scientist-credit-splash-financial-JV_IC1145778_KO0,21_KE22,38.htm?jl=1009870894958",Splash Financial,"Cleveland, OH",$110K - $130K (Employer provided),3.9,6d,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-altak-group-JV_KO0,14_KE15,26.htm?jl=1009865701602",Altak Group,Remote,$60.00 - $65.00 Per Hour (Employer provided),2.0,11d,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-ghk-technologies-inc-JV_IC1147401_KO0,14_KE15,35.htm?jl=1009873623548",GHK Technologies Inc,"San Francisco, CA",,3.8,4d,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-xpertdox-llc-JV_IC1133911_KO0,14_KE15,27.htm?jl=1009867461666","XpertDox, LLC","Scottsdale, AZ",$60K - $85K (Employer provided),,9d,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-marchex-JV_KO0,14_KE15,22.htm?jl=1009867090952",Marchex,Remote,$103K - $120K (Employer provided),3.2,10d,Yes
Data Scientist,"https://www.glassdoor.com/job-listing/data-scientist-prontodigital-llc-JV_IC1148399_KO0,14_KE15,32.htm?jl=1009865952043",ProntoDigital LLC,"Hartford, CT",$50.00 Per Hour (Employer provided),-0.1,11d,Yes
Senior Data Scientist,"https://www.glassdoor.com/job-listing/senior-data-scientist-blackpoint-cyber-JV_KO0,21_KE22,38.htm?jl=1009873712659",Blackpoint Cyber,United States,$125K - $145K (Employer provided),3.6,3d,Yes
