IMF[1][6],World Bank[7],United Nations[8],Forecast,Year,Estimate,Year
World,"113,795,678",2025,"111,326,370",2024,"100,834,796",2022
United States,"30,507,217",2025,"29,184,890",2024,"27,720,700",2023
China,"19,231,705",[n 1]2025,"18,743,803",[n 3]2024,"17,794,782",[n 1]2023
Germany,"4,744,804",2025,"4,659,929",2024,"4,525,704",2023
India,"4,187,017",2025,"3,912,686",2024,"3,575,778",2023
Japan,"4,186,431",2025,"4,026,211",2024,"4,204,495",2023
United Kingdom,"3,839,180",2025,"3,643,834",2024,"3,380,855",2023
France,"3,211,292",2025,"3,162,079",2024,"3,051,832",2023
Italy,"2,422,855",2025,"2,372,775",2024,"2,300,941",2023
Canada,"2,225,341",2025,"2,241,253",2024,"2,142,471",2023
Brazil,"2,125,958",2025,"2,179,412",2024,"2,191,132",2023
Russia,"2,076,396",2025,"2,173,836",2024,"2,008,419",2023
Spain,"1,799,511",2025,"1,722,746",2024,"1,620,091",2023
South Korea,"1,790,322",2025,"1,712,793",2023,"1,839,058",2023
Australia,"1,771,681",2025,"1,752,193",2024,"1,775,628",2023
Mexico,"1,692,640",2025,"1,852,723",2024,"1,793,799",2023
Turkey,"1,437,406",2025,"1,323,255",2024,"1,118,253",2023
Indonesia,"1,429,743",2025,"1,396,300",2024,"1,371,171",2023
Netherlands,"1,272,011",2025,"1,227,544",2024,"1,154,361",2023
Saudi Arabia,"1,083,749",2025,"1,237,530",2024,"1,067,583",2023
Poland,"979,960",2025,"914,696",2024,"809,201",2023
Switzerland,"947,125",2025,"936,564",2024,"894,425",2023
Taiwan,"804,889",[n 4]2025,—,—,,
Belgium,"684,864",2025,"664,564",2024,"644,783",2023
Argentina,"683,533",2025,"633,267",2024,"646,075",2023
Sweden,"620,297",2025,"610,118",2024,"584,960",2023
Ireland,"598,840",2025,"577,389",2024,"551,395",2023
Israel,"583,361",2025,"540,380",2024,"513,611",2023
Singapore,"564,774",2025,"547,387",2024,"501,428",2023
United Arab Emirates,"548,598",2025,"537,079",2024,"514,130",2023
Thailand,"546,224",2025,"526,411",2024,"514,945",2023
Austria,"534,301",2025,"521,642",2024,"511,685",2023
Norway,"504,276",2025,"483,727",2024,"485,311",2023
Philippines,"497,495",2025,"461,618",2024,"437,146",2023
Vietnam,"490,970",2025,"476,388",2024,"429,717",2023
Bangladesh,"467,218",2025,"450,119",2024,"422,431",2023
Denmark,"449,940",2025,"429,457",2024,"407,092",2023
Malaysia,"444,984",2025,"421,972",2024,"399,649",2023
Colombia,"427,766",2025,"418,542",2024,"363,540",2023
Hong Kong,"423,999",[n 5]2025,"407,107",2024,"380,812",2023
South Africa,"410,338",2025,"400,261",2024,"377,782",2023
Romania,"403,395",2025,"382,768",2024,"350,776",2023
Pakistan,—,"373,072",2024,"299,864",2023,
Czech Republic,"360,244",2025,"345,037",2024,"343,208",2023
Egypt,"347,342",2025,"389,050",2024,"331,590",2023
Chile,"343,823",2025,"330,267",2024,"335,533",2023
Iran,"341,013",2025,"436,906",2024,"401,596",2023
Portugal,"321,440",2025,"308,683",2024,"289,114",2023
Finland,"303,945",2025,"299,836",2024,"295,532",2023
Peru,"303,293",2025,"289,222",2024,"267,603",2023
Kazakhstan,"300,538",2025,"288,406",2024,"264,293",2023
Algeria,"268,885",2025,"263,620",2024,"247,626",2023
Greece,"267,348",2025,"257,145",2024,"243,498",2023
Iraq,"258,020",2025,"279,641",2024,"232,107",2023
New Zealand,"248,666",2025,"260,236",2024,"252,176",2023
Hungary,"237,070",2025,"222,905",2024,"212,657",2023
Qatar,"222,776",2025,"217,983",2024,"213,003",2023
Ukraine,"205,742",[n 6]2025,"190,741",[n 6]2024,"178,757",[n 6]2023
Cuba,—,—,"201,986",2023,,
Nigeria,"188,271",2025,"187,760",2024,"374,984",2023
Morocco,"165,835",2025,"154,431",2024,"144,438",2023
Kuwait,"153,101",2025,"160,227",2024,"163,705",2023
Slovakia,"147,031",2025,"141,776",2024,"132,908",2023
Uzbekistan,"132,484",2025,"114,965",2024,"90,889",2023
Kenya,"131,673",2025,"124,499",2024,"108,039",2023
Dominican Republic,"127,828",2025,"124,282",2024,"121,444",2023
Ecuador,"125,677",2025,"124,676",2024,"118,845",2023
Puerto Rico,"122,522",2025,"125,842",2024,"117,902",2023
Guatemala,"121,177",2025,"113,200",2024,"104,451",2023
Ethiopia,"117,457",2025,"163,698",2023,"159,746",2023
Bulgaria,"117,007",2025,"112,212",2024,"102,397",2023
Angola,"113,343",2025,"80,397",2024,"90,552",2023
Venezuela,"108,511",2025,—,"139,395",2023,
Oman,"104,351",2025,"106,943",2024,"105,896",2023
Costa Rica,"102,591",2025,"95,350",2024,"86,498",2023
Sri Lanka,—,"98,963",2024,"84,364",2023,
Croatia,"98,951",2025,"92,526",2024,"84,391",2023
Luxembourg,"96,613",2025,"93,197",2024,"85,755",2023
Ivory Coast,"94,483",2025,"86,538",2024,"78,789",2023
Serbia,"92,549",2025,"89,084",2024,"75,187",2023
Panama,"91,675",2025,"86,260",2024,"83,382",2023
Lithuania,"89,192",2025,"84,869",2024,"79,790",2023
Turkmenistan,"89,054",2025,"64,240",2024,"59,887",2023
Ghana,"88,332",2025,"82,825",2024,"76,370",2023
Tanzania,"85,977",2025,"78,780",2024,"78,353",[n 7]2023
Uruguay,"79,731",2025,"80,962",2024,"77,236",2023
DR Congo,"79,119",2025,"70,749",2024,"69,338",2023
Azerbaijan,"78,870",2025,"74,316",2024,"72,356",2023
Slovenia,"75,224",2025,"72,485",2024,"69,148",2023
Belarus,"71,561",2025,"75,962",2024,"71,857",2023
Myanmar,"64,944",2025,"74,080",2024,"62,084",2023
Uganda,"64,277",2025,"53,652",2024,"51,023",2023
Bolivia,"56,339",2025,"49,668",2024,"45,135",2023
Tunisia,"56,291",2025,"53,410",2024,"48,541",2023
Jordan,"56,102",2025,"53,352",2024,"50,814",2023
Cameroon,"56,011",2025,"51,327",2024,"49,279",2023
Macau,"53,354",[n 8]2025,"50,183",2024,"45,803",2023
Cambodia,"49,799",2025,"46,353",2024,"42,824",2023
Bahrain,"47,829",2025,"47,737",2024,"44,662",2023
Libya,"47,484",2025,"46,636",2024,"44,030",2023
Nepal,"46,080",2025,"42,914",2024,"40,484",2023
Latvia,"45,535",2025,"43,521",2024,"42,248",2023
Paraguay,"45,465",2025,"44,458",2024,"42,955",2023
Estonia,"45,004",2025,"42,765",2024,"41,291",2023
Cyprus,"38,736",[n 9]2025,"36,333",[n 9]2024,"33,887",[n 9]2023
Zimbabwe,"38,172",2025,"44,188",2024,"30,368",2023
Honduras,"38,172",2025,"37,094",2024,"34,401",2023
El Salvador,"36,749",2025,"35,365",2024,"34,016",2023
Georgia,"35,353",[n 10]2025,"33,776",[n 10]2024,"30,536",[n 10]2023
Iceland,"35,309",2025,"33,463",2024,"31,325",2023
Senegal,"34,728",2025,"32,267",2024,"30,408",2023
Haiti,"33,548",2025,"25,224",2024,"19,841",2023
Papua New Guinea,"32,835",2025,"32,538",2024,"31,020",2023
Sudan,"31,506",2025,"49,910",2024,"34,021",2023
Guinea,"30,094",2025,"25,334",2024,"23,006",2023
Zambia,"28,910",2025,"26,326",2024,"27,578",2023
Bosnia and Herzegovina,"28,807",2025,"28,343",2024,"27,515",2023
Albania,"28,372",2025,"27,178",2024,"22,978",2023
Burkina Faso,"27,056",2025,"23,250",2024,"20,325",2023
Trinidad and Tobago,"26,467",2025,"26,429",2024,"25,489",2023
Armenia,"26,258",2025,"25,787",2024,"24,219",2023
Guyana,"25,822",2025,"24,836",2024,"16,683",2023
Mongolia,"25,804",2025,"23,586",2024,"19,872",2023
Malta,"25,750",2025,"24,322",2024,"22,212",2023
Mozambique,"23,771",2025,"22,417",2024,"20,954",2023
Mali,"23,208",2025,"26,588",2024,"20,662",2023
Benin,"22,236",2025,"21,483",2024,"19,673",2023
Niger,"21,874",2025,"19,538",2024,"16,819",2023
Jamaica,"21,411",2025,"19,930",2024,"19,423",2023
Nicaragua,"21,155",2025,"19,694",2024,"17,829",2023
Gabon,"20,391",2025,"20,867",2024,"20,056",2023
Lebanon,—,"20,079",2023,"27,464",2023,
Syria,—,"19,993",2023,"29,028",2023,
Kyrgyzstan,"19,849",2025,"17,478",2024,"13,988",2023
Moldova,"19,462",[n 11]2025,"18,200",[n 11]2024,"16,542",[n 11]2023
Botswana,"19,400",2025,"19,401",2024,"19,396",2023
Chad,"18,792",2025,"20,626",2024,"17,643",2023
Madagascar,"18,708",2025,"17,421",2024,"15,870",2023
North Macedonia,"17,885",2025,"16,685",2024,"15,764",2023
Yemen,"17,401",2025,—,"8,758",2023,
Afghanistan,—,"17,152",2023,"16,417",2023,
North Korea,—,—,"16,447",2023,,
Laos,"16,322",2025,"16,503",2024,"15,008",2023
Brunei,"16,007",2025,"15,463",2024,"15,128",2023
Mauritius,"15,495",2025,"14,953",2024,"14,397",2023
Congo,"15,281",2025,"15,720",2024,"14,167",2023
Bahamas,"15,178",2025,"15,833",2024,"14,338",2023
Tajikistan,"14,836",2025,"14,205",2024,"12,061",2023
Rwanda,"14,771",2025,"14,252",2024,"14,097",2023
Namibia,"14,214",2025,"13,372",2024,"12,351",2023
Malawi,"13,959",2025,"11,009",2024,"12,627",2023
Palestine,—,"13,711",[n 12]2024,"17,396",[n 13]2023,
Somalia,"12,994",2025,"12,109",2024,"10,969",2023
Equatorial Guinea,"12,684",2025,"12,766",2024,"12,117",2023
Channel Islands,—,"12,508",2023,—,,
Mauritania,"11,470",2025,"10,767",2024,"10,652",2023
