Object,1,2,3,4,5,6,7,8,9,10,11,12
1,0.0,0.7384,0.5391,0.4079,0.7381,0.4403,0.5968,0.3343,0.7649,0.3185,0.5839,0.6168
2,0.7384,0.0,0.8118,0.4472,0.3112,0.8576,0.433,0.5708,0.3925,0.9365,0.2725,0.4618
3,0.5391,0.8118,0.0,0.7424,0.8758,0.2353,0.6993,0.3872,0.8127,0.2631,0.6511,0.7828
4,0.4079,0.4472,0.7424,0.0,0.6959,0.7507,0.4747,0.4262,0.5256,0.6259,0.3925,0.4744
5,0.7381,0.3112,0.8758,0.6959,0.0,0.8355,0.4848,0.7372,0.3819,0.9765,0.4171,0.3225
6,0.4403,0.8576,0.2353,0.7507,0.8355,0.0,0.8763,0.4186,0.8841,0.3335,0.5851,0.8333
7,0.5968,0.433,0.6993,0.4747,0.4848,0.8763,0.0,0.7689,0.2952,0.7452,0.5732,0.3918
8,0.3343,0.5708,0.3872,0.4262,0.7372,0.4186,0.7689,0.0,0.8473,0.3842,0.4292,0.6992
9,0.7649,0.3925,0.8127,0.5256,0.3819,0.8841,0.2952,0.8473,0.0,1.0,0.6323,0.2314
10,0.3185,0.9365,0.2631,0.6259,0.9765,0.3335,0.7452,0.3842,1.0,0.0,0.771,0.8798
11,0.5839,0.2725,0.6511,0.3925,0.4171,0.5851,0.5732,0.4292,0.6323,0.771,0.0,0.6778
12,0.6168,0.4618,0.7828,0.4744,0.3225,0.8333,0.3918,0.6992,0.2314,0.8798,0.6778,0.0
