event_id,user_id,title_id,platform_id,event_type,event_ts,scene_id,duration_seconds,sentiment_score
1,106,2,1,COMMENT,2023-05-25 05:32:00,,,0.83
2,128,3,3,SCENE_VIEW,2023-05-07 04:23:00,25.0,,
3,120,2,4,READ,2023-01-12 09:15:00,,,
4,129,3,1,READ,2023-06-16 02:48:00,,,
5,105,3,4,SCENE_VIEW,2023-02-09 16:55:00,20.0,,
6,130,3,2,COMMENT,2023-04-22 20:23:00,,,-0.12
7,117,2,1,HIGHLIGHT,2023-02-03 10:01:00,19.0,,
8,119,1,1,READ,2023-06-21 01:14:00,,,
9,128,2,1,SCENE_VIEW,2023-02-09 21:31:00,7.0,,
10,124,3,4,HIGHLIGHT,2023-04-26 13:12:00,4.0,129.0,
11,112,2,4,SHARE,2023-06-02 21:41:00,,,
12,113,3,3,READ,2023-02-07 06:34:00,,,
13,114,1,3,SHARE,2023-02-28 02:28:00,,,
14,102,3,1,READ,2023-02-06 13:31:00,,,
15,128,2,1,HIGHLIGHT,2023-04-01 12:16:00,30.0,495.0,
16,114,3,4,HIGHLIGHT,2023-02-10 06:03:00,19.0,,
17,124,2,1,READ,2023-05-16 16:58:00,,,
18,102,3,1,HIGHLIGHT,2023-01-20 02:43:00,28.0,270.0,
19,104,3,2,SCENE_VIEW,2023-05-02 19:05:00,14.0,565.0,
20,130,2,2,COMMENT,2023-02-09 12:08:00,,,0.34
21,110,2,3,READ,2023-01-15 19:36:00,,,
22,118,1,3,HIGHLIGHT,2023-03-03 07:23:00,10.0,191.0,
23,127,3,3,SCENE_VIEW,2023-06-17 00:42:00,27.0,597.0,
24,130,3,1,HIGHLIGHT,2023-03-04 03:47:00,18.0,189.0,
25,110,3,2,COMMENT,2023-02-22 20:54:00,,,-0.47
26,116,2,1,READ,2023-06-14 08:02:00,,33.0,
27,125,1,3,HIGHLIGHT,2023-06-15 17:45:00,14.0,,
28,103,3,2,SCENE_VIEW,2023-01-27 11:37:00,18.0,181.0,
29,105,1,3,COMMENT,2023-01-12 06:43:00,,,-0.5
30,104,2,4,SCENE_VIEW,2023-06-05 07:55:00,6.0,211.0,
31,101,1,3,SHARE,2023-06-28 23:51:00,,284.0,
32,106,3,1,SHARE,2023-01-28 15:14:00,,234.0,
33,112,2,2,HIGHLIGHT,2023-01-22 06:25:00,11.0,,
34,125,2,3,SCENE_VIEW,2023-04-22 17:21:00,1.0,148.0,
35,106,3,3,READ,2023-01-20 13:22:00,,351.0,
36,120,3,1,SHARE,2023-05-07 08:02:00,,,
37,117,3,2,COMMENT,2023-04-03 21:58:00,,,-0.34
38,111,3,1,COMMENT,2023-05-10 21:26:00,,,-0.35
39,123,2,2,HIGHLIGHT,2023-04-22 12:43:00,24.0,208.0,
40,113,3,1,COMMENT,2023-03-07 13:50:00,,,0.16
41,121,2,4,SHARE,2023-04-22 06:32:00,,,
42,122,1,3,SCENE_VIEW,2023-06-21 19:21:00,3.0,270.0,
43,108,1,2,READ,2023-01-08 15:39:00,,104.0,
44,114,3,2,SHARE,2023-04-13 07:09:00,,,
45,125,2,2,HIGHLIGHT,2023-06-17 14:03:00,18.0,,
46,115,1,4,SCENE_VIEW,2023-05-20 10:48:00,29.0,483.0,
47,127,3,4,HIGHLIGHT,2023-06-28 15:28:00,9.0,283.0,
48,125,3,4,HIGHLIGHT,2023-03-15 02:45:00,10.0,270.0,
49,111,2,1,HIGHLIGHT,2023-02-08 12:44:00,5.0,,
50,114,2,3,SCENE_VIEW,2023-04-14 01:13:00,27.0,460.0,
51,129,3,1,SCENE_VIEW,2023-04-16 00:22:00,10.0,429.0,
52,118,3,2,SHARE,2023-02-09 13:31:00,,59.0,
53,111,3,4,HIGHLIGHT,2023-04-05 19:34:00,1.0,,
54,103,3,4,HIGHLIGHT,2023-04-06 01:16:00,13.0,,
55,115,2,3,SHARE,2023-03-25 13:16:00,,113.0,
56,101,3,1,COMMENT,2023-02-21 02:49:00,,,0.91
57,102,1,2,HIGHLIGHT,2023-01-20 04:15:00,5.0,,
58,119,1,4,COMMENT,2023-03-06 19:38:00,,,0.93
