user_id,signup_date,age_band,country,region
101,2022-11-04,18-25,Pakistan,South
102,2022-04-05,36-45,USA,North
103,2022-10-14,18-25,USA,North
104,2022-04-08,36-45,Canada,North
105,2022-09-07,36-45,Canada,West
106,2022-04-15,36-45,Pakistan,North
107,2022-03-23,26-35,Pakistan,East
108,2022-03-07,26-35,USA,North
109,2022-07-04,26-35,Pakistan,East
110,2022-01-24,26-35,Canada,North
111,2022-07-03,36-45,Pakistan,East
112,2022-10-07,36-45,USA,North
113,2022-11-08,26-35,USA,South
114,2022-02-13,26-35,India,East
115,2022-03-12,26-35,UK,East
116,2022-12-22,36-45,USA,South
117,2022-09-24,18-25,UK,West
118,2022-07-09,36-45,Canada,South
119,2022-11-11,18-25,UK,North
120,2022-06-13,26-35,USA,South
121,2022-10-23,26-35,UK,West
122,2022-07-21,26-35,UK,East
123,2022-03-08,36-45,Canada,East
124,2022-12-19,26-35,Canada,West
125,2022-06-08,18-25,Canada,West
126,2022-02-25,18-25,USA,South
127,2022-11-06,36-45,India,North
128,2022-07-13,36-45,India,East
129,2022-09-28,18-25,USA,East
130,2022-11-11,18-25,Pakistan,West
